=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.08.28 19:26:05 =~=~=~=~=~=~=~=~=~=~=~=
Time (seconds),Voltage (5/1024 volts)
0.0,271
0.1,272
0.2,271
0.3,271
0.4,268
0.5,271
0.6,271
0.7,272
0.8,271
0.9,272
1.0,271
1.1,271
1.2,271
1.3,273
1.4,271
1.5,271
1.6,271
1.7,271
1.8,272
1.9,272
2.0,271
2.1,271
2.2,272
2.3,271
2.4,271
2.5,275
2.6,272
2.7,271
2.8,273
2.9,271
3.0,272
3.1,271
3.2,272
3.3,271
3.4,271
3.5,272
3.6,272
3.7,271
3.8,273
3.9,274
4.0,272
4.1,272
4.2,271
4.3,271
4.4,271
4.5,271
4.6,274
4.7,271
4.8,271
4.9,271
5.0,270
5.1,272
5.2,271
5.3,272
5.4,271
5.5,271
5.6,272
5.7,271
5.8,271
5.9,272
6.0,269
6.1,272
6.2,271
6.3,271
6.4,271
6.5,272
6.6,272
6.7,271
6.8,271
6.9,271
7.0,269
7.1,270
7.2,272
7.3,270
7.4,272
7.5,272
7.6,271
7.7,272
7.8,271
7.9,270
8.0,271
8.1,271
8.2,272
8.3,270
8.4,271
8.5,273
8.6,272
8.7,271
8.8,269
8.9,272
9.0,272
9.1,273
9.2,272
9.3,266
9.4,271
9.5,272
9.6,271
9.7,271
9.8,271
9.9,272
10.0,269
10.1,271
10.2,274
10.3,273
10.4,272
10.5,271
10.6,269
10.7,271
10.8,270
10.9,271
11.0,272
11.1,272
11.2,272
11.3,273
11.4,272
11.5,272
11.6,270
11.7,271
11.8,273
11.9,271
12.0,272
12.1,271
12.2,270
12.3,273
12.4,271
12.5,272
12.6,272
12.7,272
12.8,271
12.9,271
13.0,271
13.1,272
13.2,270
13.3,271
13.4,271
13.5,273
13.6,267
13.7,272
13.8,271
13.9,272
14.0,270
14.1,272
14.2,272
14.3,271
14.4,272
14.5,272
14.6,272
14.7,272
14.8,271
14.9,273
15.0,272
15.1,273
15.2,271
15.3,272
15.4,271
15.5,269
15.6,271
15.7,269
15.8,272
15.9,272
16.0,273
16.1,271
16.2,271
16.3,271
16.4,272
16.5,272
16.6,273
16.7,272
16.8,271
16.9,271
17.0,272
17.1,272
17.2,271
17.3,272
17.4,276
17.5,271
17.6,270
17.7,273
17.8,272
17.9,271
18.0,268
18.1,273
18.2,273
18.3,271
18.4,272
18.5,272
18.6,271
18.7,270
18.8,267
18.9,272
19.0,272
19.1,271
19.2,272
19.3,271
19.4,273
19.5,271
19.6,273
19.7,273
19.8,271
19.9,273
20.0,272
20.1,272
20.2,270
20.3,272
20.4,271
20.5,271
20.6,272
20.7,271
20.8,271
20.9,272
21.0,272
21.1,274
21.2,272
21.3,271
21.4,272
21.5,272
21.6,271
21.7,273
21.8,272
21.9,268
22.0,272
22.1,273
22.2,272
22.3,272
22.4,272
22.5,272
22.6,272
22.7,272
22.8,273
22.9,271
23.0,271
23.1,271
23.2,272
23.3,272
23.4,272
23.5,273
23.6,275
23.7,272
23.8,272
23.9,272
24.0,271
24.1,272
24.2,272
24.3,272
24.4,272
24.5,270
24.6,272
24.7,271
24.8,272
24.9,272
25.0,272
25.1,273
25.2,272
25.3,271
25.4,272
25.5,272
25.6,272
25.7,271
25.8,272
25.9,271
26.0,272
26.1,271
26.2,272
26.3,272
26.4,272
26.5,269
26.6,271
26.7,273
26.8,269
26.9,271
27.0,272
27.1,272
27.2,272
27.3,271
27.4,271
27.5,272
27.6,272
27.7,271
27.8,271
27.9,273
28.0,270
28.1,275
28.2,273
28.3,272
28.4,274
28.5,272
28.6,270
28.7,272
28.8,272
28.9,272
29.0,271
29.1,272
29.2,271
29.3,272
29.4,272
29.5,272
29.6,271
29.7,272
29.8,273
29.9,272
30.0,272
30.1,272
30.2,272
30.3,272
30.4,272
30.5,272
30.6,270
30.7,273
30.8,273
30.9,268
31.0,272
31.1,272
31.2,272
31.3,271
31.4,272
31.5,271
31.6,272
31.7,272
31.8,272
31.9,272
32.0,272
32.1,270
32.2,272
32.3,272
32.4,272
32.5,272
32.6,273
32.7,273
32.8,272
32.9,272
33.0,269
33.1,272
33.2,269
33.3,273
33.4,270
33.5,269
33.6,272
33.7,272
33.8,272
33.9,272
34.0,272
34.1,272
34.2,272
34.3,269
34.4,273
34.5,272
34.6,272
34.7,269
34.8,272
34.9,272
35.0,273
35.1,274
35.2,272
35.3,273
35.4,272
35.5,272
35.6,272
35.7,272
35.8,272
35.9,272
36.0,272
36.1,272
36.2,272
36.3,271
36.4,272
36.5,272
36.6,273
36.7,272
36.8,272
36.9,272
37.0,270
37.1,273
37.2,272
37.3,274
37.4,272
37.5,272
37.6,272
37.7,272
37.8,273
37.9,272
38.0,273
38.1,273
38.2,271
38.3,269
38.4,272
38.5,273
38.6,269
38.7,272
38.8,272
38.9,272
39.0,272
39.1,272
39.2,272
39.3,273
39.4,272
39.5,270
39.6,272
39.7,271
39.8,270
39.9,272
40.0,274
40.1,272
40.2,272
40.3,272
40.4,272
40.5,271
40.6,273
40.7,272
40.8,272
40.9,272
41.0,273
41.1,272
41.2,272
41.3,273
41.4,272
41.5,272
41.6,272
41.7,271
41.8,272
41.9,270
42.0,272
42.1,275
42.2,271
42.3,272
42.4,272
42.5,272
42.6,272
42.7,272
42.8,272
42.9,273
43.0,271
43.1,272
43.2,273
43.3,271
43.4,272
43.5,271
43.6,272
43.7,272
43.8,272
43.9,272
44.0,273
44.1,272
44.2,272
44.3,272
44.4,272
44.5,274
44.6,273
44.7,272
44.8,272
44.9,272
45.0,273
45.1,274
45.2,271
45.3,273
45.4,272
45.5,272
45.6,272
45.7,272
45.8,272
45.9,272
46.0,274
46.1,273
46.2,272
46.3,273
46.4,273
46.5,273
46.6,272
46.7,271
46.8,273
46.9,272
47.0,272
47.1,272
47.2,269
47.3,272
47.4,273
47.5,273
47.6,275
47.7,272
47.8,273
47.9,275
48.0,271
48.1,273
48.2,273
48.3,273
48.4,273
48.5,273
48.6,269
48.7,272
48.8,272
48.9,273
49.0,272
49.1,273
49.2,273
49.3,272
49.4,274
